央视,#genre#
CCTV1综合,http://116.147.106.102:1234/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://47.103.208.165:1234/608807420
CCTV1综合,http://223.83.177.142:1234/608807420
CCTV1综合,http://14.153.176.108:1234/608807420
CCTV1综合,http://113.98.11.46:3000/608807420
CCTV1综合,http://101.200.164.241:7788/608807420
CCTV1综合,http://43.226.36.47:7788/608807420
CCTV2财经,http://116.147.106.102:1234/631780532
CCTV2财经,http://219.140.5.55:1234/631780532
CCTV2财经,http://47.103.208.165:1234/631780532
CCTV2财经,http://223.83.177.142:1234/631780532
CCTV2财经,http://14.153.176.108:1234/631780532
CCTV2财经,http://113.98.11.46:3000/631780532
CCTV2财经,http://101.200.164.241:7788/631780532
CCTV2财经,http://43.226.36.47:7788/631780532
CCTV3综艺,http://116.147.106.102:1234/624878271
CCTV3综艺,http://219.140.5.55:1234/624878271
CCTV3综艺,http://47.103.208.165:1234/624878271
CCTV3综艺,http://223.83.177.142:1234/624878271
CCTV3综艺,http://14.153.176.108:1234/624878271
CCTV3综艺,http://113.98.11.46:3000/624878271
CCTV3综艺,http://101.200.164.241:7788/624878271
CCTV3综艺,http://43.226.36.47:7788/624878271
CCTV4中文国际,http://116.147.106.102:1234/631780421
CCTV4中文国际,http://219.140.5.55:1234/631780421
CCTV4中文国际,http://47.103.208.165:1234/631780421
CCTV4中文国际,http://223.83.177.142:1234/631780421
CCTV4中文国际,http://14.153.176.108:1234/631780421
CCTV4中文国际,http://113.98.11.46:3000/631780421
CCTV4中文国际,http://101.200.164.241:7788/631780421
CCTV4中文国际,http://43.226.36.47:7788/631780421
CCTV5体育,http://116.147.106.102:1234/641886683
CCTV5体育,http://219.140.5.55:1234/641886683
CCTV5体育,http://47.103.208.165:1234/641886683
CCTV5体育,http://223.83.177.142:1234/641886683
CCTV5体育,http://14.153.176.108:1234/641886683
CCTV5体育,http://113.98.11.46:3000/641886683
CCTV5体育,http://101.200.164.241:7788/641886683
CCTV5体育,http://43.226.36.47:7788/641886683
CCTV5+体育赛事,http://116.147.106.102:1234/641886773
CCTV5+体育赛事,http://219.140.5.55:1234/641886773
CCTV5+体育赛事,http://47.103.208.165:1234/641886773
CCTV5+体育赛事,http://223.83.177.142:1234/641886773
CCTV5+体育赛事,http://14.153.176.108:1234/641886773
CCTV5+体育赛事,http://113.98.11.46:3000/641886773
CCTV5+体育赛事,http://101.200.164.241:7788/641886773
CCTV5+体育赛事,http://43.226.36.47:7788/641886773
CCTV6电影,http://116.147.106.102:1234/624878396
CCTV6电影,http://219.140.5.55:1234/624878396
CCTV6电影,http://47.103.208.165:1234/624878396
CCTV6电影,http://223.83.177.142:1234/624878396
CCTV6电影,http://14.153.176.108:1234/624878396
CCTV6电影,http://113.98.11.46:3000/624878396
CCTV6电影,http://101.200.164.241:7788/624878396
CCTV6电影,http://43.226.36.47:7788/624878396
CCTV7国防军事,http://116.147.106.102:1234/673168121
CCTV7国防军事,http://219.140.5.55:1234/673168121
CCTV7国防军事,http://47.103.208.165:1234/673168121
CCTV7国防军事,http://223.83.177.142:1234/673168121
CCTV7国防军事,http://14.153.176.108:1234/673168121
CCTV7国防军事,http://113.98.11.46:3000/673168121
CCTV7国防军事,http://101.200.164.241:7788/673168121
CCTV7国防军事,http://43.226.36.47:7788/673168121
CCTV8电视剧,http://116.147.106.102:1234/624878356
CCTV8电视剧,http://219.140.5.55:1234/624878356
CCTV8电视剧,http://47.103.208.165:1234/624878356
CCTV8电视剧,http://223.83.177.142:1234/624878356
CCTV8电视剧,http://14.153.176.108:1234/624878356
CCTV8电视剧,http://113.98.11.46:3000/624878356
CCTV8电视剧,http://101.200.164.241:7788/624878356
CCTV8电视剧,http://43.226.36.47:7788/624878356
CCTV9纪录,http://116.147.106.102:1234/673168140
CCTV9纪录,http://219.140.5.55:1234/673168140
CCTV9纪录,http://47.103.208.165:1234/673168140
CCTV9纪录,http://223.83.177.142:1234/673168140
CCTV9纪录,http://14.153.176.108:1234/673168140
CCTV9纪录,http://113.98.11.46:3000/673168140
CCTV9纪录,http://101.200.164.241:7788/673168140
CCTV9纪录,http://43.226.36.47:7788/673168140
CCTV10科教,http://116.147.106.102:1234/624878405
CCTV10科教,http://219.140.5.55:1234/624878405
CCTV10科教,http://47.103.208.165:1234/624878405
CCTV10科教,http://223.83.177.142:1234/624878405
CCTV10科教,http://14.153.176.108:1234/624878405
CCTV10科教,http://113.98.11.46:3000/624878405
CCTV10科教,http://101.200.164.241:7788/624878405
CCTV10科教,http://43.226.36.47:7788/624878405
CCTV11戏曲,http://116.147.106.102:1234/667987558
CCTV11戏曲,http://219.140.5.55:1234/667987558
CCTV11戏曲,http://47.103.208.165:1234/667987558
CCTV11戏曲,http://223.83.177.142:1234/667987558
CCTV11戏曲,http://14.153.176.108:1234/667987558
CCTV11戏曲,http://113.98.11.46:3000/667987558
CCTV11戏曲,http://101.200.164.241:7788/667987558
CCTV11戏曲,http://43.226.36.47:7788/667987558
CCTV12社会与法,http://116.147.106.102:1234/673168185
CCTV12社会与法,http://219.140.5.55:1234/673168185
CCTV12社会与法,http://47.103.208.165:1234/673168185
CCTV12社会与法,http://223.83.177.142:1234/673168185
CCTV12社会与法,http://14.153.176.108:1234/673168185
CCTV12社会与法,http://113.98.11.46:3000/673168185
CCTV12社会与法,http://101.200.164.241:7788/673168185
CCTV12社会与法,http://43.226.36.47:7788/673168185
CCTV13新闻,http://116.147.106.102:1234/608807423
CCTV13新闻,http://219.140.5.55:1234/608807423
CCTV13新闻,http://47.103.208.165:1234/608807423
CCTV13新闻,http://223.83.177.142:1234/608807423
CCTV13新闻,http://14.153.176.108:1234/608807423
CCTV13新闻,http://113.98.11.46:3000/608807423
CCTV13新闻,http://101.200.164.241:7788/608807423
CCTV13新闻,http://43.226.36.47:7788/608807423
CCTV14少儿,http://116.147.106.102:1234/624878440
CCTV14少儿,http://219.140.5.55:1234/624878440
CCTV14少儿,http://47.103.208.165:1234/624878440
CCTV14少儿,http://223.83.177.142:1234/624878440
CCTV14少儿,http://14.153.176.108:1234/624878440
CCTV14少儿,http://113.98.11.46:3000/624878440
CCTV14少儿,http://101.200.164.241:7788/624878440
CCTV14少儿,http://43.226.36.47:7788/624878440
CCTV15音乐,http://116.147.106.102:1234/673168223
CCTV15音乐,http://219.140.5.55:1234/673168223
CCTV15音乐,http://47.103.208.165:1234/673168223
CCTV15音乐,http://223.83.177.142:1234/673168223
CCTV15音乐,http://14.153.176.108:1234/673168223
CCTV15音乐,http://113.98.11.46:3000/673168223
CCTV15音乐,http://101.200.164.241:7788/673168223
CCTV15音乐,http://43.226.36.47:7788/673168223
CCTV17农业农村,http://116.147.106.102:1234/673168256
CCTV17农业农村,http://219.140.5.55:1234/673168256
CCTV17农业农村,http://47.103.208.165:1234/673168256
CCTV17农业农村,http://223.83.177.142:1234/673168256
CCTV17农业农村,http://14.153.176.108:1234/673168256
CCTV17农业农村,http://113.98.11.46:3000/673168256
CCTV17农业农村,http://101.200.164.241:7788/673168256
CCTV17农业农村,http://43.226.36.47:7788/673168256
CCTV4欧洲,http://116.147.106.102:1234/608807419
CCTV4欧洲,http://219.140.5.55:1234/608807419
CCTV4欧洲,http://47.103.208.165:1234/608807419
CCTV4欧洲,http://223.83.177.142:1234/608807419
CCTV4欧洲,http://14.153.176.108:1234/608807419
CCTV4欧洲,http://113.98.11.46:3000/608807419
CCTV4欧洲,http://101.200.164.241:7788/608807419
CCTV4欧洲,http://43.226.36.47:7788/608807419
CCTV4美洲,http://116.147.106.102:1234/608807416
CCTV4美洲,http://219.140.5.55:1234/608807416
CCTV4美洲,http://47.103.208.165:1234/608807416
CCTV4美洲,http://223.83.177.142:1234/608807416
CCTV4美洲,http://14.153.176.108:1234/608807416
CCTV4美洲,http://113.98.11.46:3000/608807416
CCTV4美洲,http://101.200.164.241:7788/608807416
CCTV4美洲,http://43.226.36.47:7788/608807416
CGTN外语纪录,http://116.147.106.102:1234/609006487
CGTN外语纪录,http://219.140.5.55:1234/609006487
CGTN外语纪录,http://47.103.208.165:1234/609006487
CGTN外语纪录,http://223.83.177.142:1234/609006487
CGTN外语纪录,http://14.153.176.108:1234/609006487
CGTN外语纪录,http://113.98.11.46:3000/609006487
CGTN外语纪录,http://101.200.164.241:7788/609006487
CGTN外语纪录,http://43.226.36.47:7788/609006487
CGTN阿拉伯语,http://116.147.106.102:1234/609154345
CGTN阿拉伯语,http://219.140.5.55:1234/609154345
CGTN阿拉伯语,http://47.103.208.165:1234/609154345
CGTN阿拉伯语,http://223.83.177.142:1234/609154345
CGTN阿拉伯语,http://14.153.176.108:1234/609154345
CGTN阿拉伯语,http://113.98.11.46:3000/609154345
CGTN阿拉伯语,http://101.200.164.241:7788/609154345
CGTN阿拉伯语,http://43.226.36.47:7788/609154345
CGTN西班牙语,http://116.147.106.102:1234/609006450
CGTN西班牙语,http://219.140.5.55:1234/609006450
CGTN西班牙语,http://47.103.208.165:1234/609006450
CGTN西班牙语,http://223.83.177.142:1234/609006450
CGTN西班牙语,http://14.153.176.108:1234/609006450
CGTN西班牙语,http://113.98.11.46:3000/609006450
CGTN西班牙语,http://101.200.164.241:7788/609006450
CGTN西班牙语,http://43.226.36.47:7788/609006450
CGTN法语,http://116.147.106.102:1234/609006476
CGTN法语,http://219.140.5.55:1234/609006476
CGTN法语,http://47.103.208.165:1234/609006476
CGTN法语,http://223.83.177.142:1234/609006476
CGTN法语,http://14.153.176.108:1234/609006476
CGTN法语,http://113.98.11.46:3000/609006476
CGTN法语,http://101.200.164.241:7788/609006476
CGTN法语,http://43.226.36.47:7788/609006476
CGTN俄语,http://116.147.106.102:1234/609006446
CGTN俄语,http://219.140.5.55:1234/609006446
